Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,3,0.0,38,12,0.017215967178344727
iris,2,Univariate,0.2,24,0.0,5,1,0.2469491958618164
iris,2,Univariate,0.4,48,0.0,5,1,0.32873082160949707
iris,2,Univariate,0.6,72,0.0,5,1,0.6676180362701416
iris,2,Univariate,0.8,96,0.0,5,1,1.5456910133361816
iris,2,Univariate,1.0,120,0.0,5,1,2.3973660469055176
iris,2,Multivariate,0.0,3,0.0,82,18,0.10076093673706055
iris,2,Multivariate,0.2,24,0.0,82,18,0.18148589134216309
iris,2,Multivariate,0.4,48,0.0,82,18,0.2691190242767334
iris,2,Multivariate,0.6,72,0.0,76,24,0.5450379848480225
iris,2,Multivariate,0.8,96,0.0,82,18,0.7799561023712158
iris,2,Multivariate,1.0,120,0.0,76,24,1.537588119506836
iris,3,Univariate,0.0,3,0.0,38,12,0.019238948822021484
iris,3,Univariate,0.2,24,0.0,4,2,0.9685180187225342
iris,3,Univariate,0.4,48,0.0,2,1,4.069818019866943
iris,3,Univariate,0.6,72,0.0,0,1,2.003967046737671
iris,3,Univariate,0.8,96,0.0,0,1,4.582353115081787
iris,3,Univariate,1.0,120,0.840335428289556,1,1,10.040130138397217
iris,3,Multivariate,0.0,3,0.0,76,24,0.1742081642150879
iris,3,Multivariate,0.2,24,0.0,82,18,0.6015698909759521
iris,3,Multivariate,0.4,48,0.0,82,18,0.4339609146118164
iris,3,Multivariate,0.6,72,0.0,82,18,1.0387821197509766
iris,3,Multivariate,0.8,96,0.0,82,18,0.9726440906524658
iris,3,Multivariate,1.0,120,0.0,82,18,0.978626012802124
iris,4,Univariate,0.0,3,0.0,38,12,0.03005504608154297
iris,4,Univariate,0.2,24,0.0,3,3,5.4187188148498535
iris,4,Univariate,0.4,48,0.0,2,2,2.3523471355438232
iris,4,Univariate,0.6,72,0.0,0,1,10.04583191871643
iris,4,Univariate,0.8,96,1.694913817869646,2,1,10.09774899482727
iris,4,Univariate,1.0,120,4.347822306241473,5,1,10.072059154510498
iris,4,Multivariate,0.0,3,0.0,82,18,0.8558011054992676
iris,4,Multivariate,0.2,24,0.0,82,18,0.6275579929351807
iris,4,Multivariate,0.4,48,0.0,82,18,1.653968095779419
iris,4,Multivariate,0.6,72,0.0,82,18,1.8617570400238037
iris,4,Multivariate,0.8,96,0.0,82,18,4.552294015884399
iris,4,Multivariate,1.0,120,0.0,82,18,8.468061208724976
seeds,2,Univariate,0.0,3,0.0,55,19,0.01657700538635254
seeds,2,Univariate,0.2,33,0.0,22,5,0.34821486473083496
seeds,2,Univariate,0.4,67,0.0,15,3,0.8757898807525635
seeds,2,Univariate,0.6,100,0.0,12,2,3.542417049407959
seeds,2,Univariate,0.8,134,3.0096532687803594,11,3,10.016892910003662
seeds,2,Univariate,1.0,168,3.8834066319996614,10,2,10.01786994934082
seeds,2,Multivariate,0.0,3,0.0,112,28,0.26444411277770996
seeds,2,Multivariate,0.2,33,0.0,112,28,0.6043691635131836
seeds,2,Multivariate,0.4,67,0.0,115,25,0.30864381790161133
seeds,2,Multivariate,0.6,100,0.0,115,25,1.082463026046753
seeds,2,Multivariate,0.8,134,0.0,115,25,0.7138121128082275
seeds,2,Multivariate,1.0,168,0.0,109,31,1.038573980331421
seeds,3,Univariate,0.0,3,0.0,62,23,0.030015945434570312
seeds,3,Univariate,0.2,33,0.0,30,9,5.31358003616333
seeds,3,Univariate,0.4,67,7.692302761344384,12,3,10.017293930053711
seeds,3,Univariate,0.6,100,4.999996875001953,8,3,10.025901079177856
seeds,3,Univariate,0.8,134,9.803915160839765,15,3,10.034562826156616
seeds,3,Univariate,1.0,168,4.347823386445102,7,4,10.028122901916504
seeds,3,Multivariate,0.0,3,0.0,112,28,0.230942964553833
seeds,3,Multivariate,0.2,33,0.0,109,31,0.5269389152526855
seeds,3,Multivariate,0.4,67,0.0,115,25,2.245736837387085
seeds,3,Multivariate,0.6,100,0.0,115,25,1.665010929107666
seeds,3,Multivariate,0.8,134,0.0,115,25,2.777395009994507
seeds,3,Multivariate,1.0,168,0.0,109,31,5.4848480224609375
seeds,4,Univariate,0.0,3,0.0,62,23,0.03231191635131836
seeds,4,Univariate,0.2,33,0.0,28,6,8.657690048217773
seeds,4,Univariate,0.4,67,7.006364964098749,10,3,10.032701969146729
seeds,4,Univariate,0.6,100,16.666655092600628,19,6,10.128973007202148
seeds,4,Univariate,0.8,134,15.06848282980628,18,6,10.087871074676514
seeds,4,Univariate,1.0,168,18.309846260671648,26,4,10.100103855133057
seeds,4,Multivariate,0.0,3,0.0,112,28,1.352738857269287
seeds,4,Multivariate,0.2,33,0.0,115,25,1.8622119426727295
seeds,4,Multivariate,0.4,67,0.0,109,31,1.9631671905517578
seeds,4,Multivariate,0.6,100,0.0,112,28,4.913442850112915
seeds,4,Multivariate,0.8,134,1.2048185513141256,109,31,10.081408023834229
seeds,4,Multivariate,1.0,168,216.98072267788172,115,25,10.163108110427856
wine,2,Univariate,0.0,3,0.0,57,15,0.01875901222229004
wine,2,Univariate,0.2,28,0.0,19,8,0.3704659938812256
wine,2,Univariate,0.4,56,0.0,8,3,0.6309831142425537
wine,2,Univariate,0.6,85,0.0,5,2,4.886325836181641
wine,2,Univariate,0.8,113,6.56565159167808,10,5,10.023169994354248
wine,2,Univariate,1.0,142,5.970144798399404,8,3,10.022336959838867
wine,2,Multivariate,0.0,3,0.0,86,21,0.04843783378601074
wine,2,Multivariate,0.2,28,0.0,102,28,0.08487701416015625
wine,2,Multivariate,0.4,56,0.0,102,28,0.08537697792053223
wine,2,Multivariate,0.6,85,0.0,96,23,0.14384913444519043
wine,2,Multivariate,0.8,113,0.0,86,21,0.5658879280090332
wine,2,Multivariate,1.0,142,0.0,102,28,0.3798031806945801
wine,3,Univariate,0.0,3,0.0,57,15,0.032531023025512695
wine,3,Univariate,0.2,28,0.0,27,10,3.307851791381836
wine,3,Univariate,0.4,56,1.4814803840886044,4,3,10.025393009185791
wine,3,Univariate,0.6,85,4.4117614619401015,4,0,10.034141063690186
wine,3,Univariate,0.8,113,6.766912205329168,5,2,10.045225858688354
wine,3,Univariate,1.0,142,8.396940155007515,11,1,10.09380292892456
wine,3,Multivariate,0.0,3,0.0,86,21,0.10620713233947754
wine,3,Multivariate,0.2,28,0.0,96,23,1.0311272144317627
wine,3,Multivariate,0.4,56,0.0,102,28,0.7307400703430176
wine,3,Multivariate,0.6,85,0.0,102,28,0.9917910099029541
wine,3,Multivariate,0.8,113,0.0,102,28,1.29048490524292
wine,3,Multivariate,1.0,142,0.0,86,21,1.965116024017334
wine,4,Univariate,0.0,3,0.0,58,15,0.05666399002075195
wine,4,Univariate,0.2,28,0.0,10,7,7.177081823348999
wine,4,Univariate,0.4,56,5.970144798399404,5,3,10.055157899856567
wine,4,Univariate,0.6,85,4.4117614619401015,6,4,10.067516088485718
wine,4,Univariate,0.8,113,7.575751836551639,6,2,10.075847148895264
wine,4,Univariate,1.0,142,21.3675031046982,25,6,10.128145933151245
wine,4,Multivariate,0.0,3,0.0,96,23,0.22345709800720215
wine,4,Multivariate,0.2,28,0.0,96,23,1.7635068893432617
wine,4,Multivariate,0.4,56,0.0,102,28,2.3177390098571777
wine,4,Multivariate,0.6,85,0.0,102,28,3.4340479373931885
wine,4,Multivariate,0.8,113,0.0,96,23,3.05120587348938
wine,4,Multivariate,1.0,142,0.0,86,21,4.423992156982422
